"Includes Amazon Marketplace, Fulfillment by Amazon (FBA), and Amazon Webstore transactions"
"All amounts in INR, unless specified"
"Definitions:"
"Total sales tax liable:Includes GST or sales tax collected from buyers for product sales, shipping, and gift wrap."
"TCS-CGST:Tax Collected at Source from Central GST"
"TCS-SGST:Tax Collected at Source from State GST"
"TCS-IGST:Tax Collected at Source from Integrated GST"
"Selling fees: Includes variable closing fees and referral fees."
"Other transaction fees: Includes shipping chargebacks, shipping holdbacks, and sales tax collection fees.
"
"Other: Includes non-order transaction amounts. For more details, see the ""Type"" and ""Description"" columns for each order ID."
"14-Feb-2021 9:21:40 am UTC","15013896932","Order
","408-3208378-1339507","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","INDORE","MADHYA PRADESH","452001","0","0","0","0","0","0","0","0","0","0","0","0"
"14-Feb-2021 9:25:26 am UTC","15013882102","Order
","403-8437328-5241127","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110059","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 9:25:39 am UTC","15013882102","Order
","171-5726386-3450768","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400059","2,964.41","0","0","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 9:26:04 am UTC","15013882102","Order
","402-0673120-2956307","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Mumbai","MAHARASHTRA","400049","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 9:41:03 am UTC","15013882102","Refund
","406-8039561-2238711","X1-TXPB-NR26","Bergner Infinity Chefs Forged Aluminium Non-Stick Casserole with Glass Lid, 20 cm, 2.5 Liters, Induction Base, Copper","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NORTH GOA","GOA","403515","-1,556.25","0","0","-186.75","0","0","15.56","189.22","0","35.40","0","-1,502.82"
"14-Feb-2021 9:41:25 am UTC","15013882102","Order
","408-3608947-7527528","JC-9ASN-OTGU","Sujata SuperMix SM Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOTHAMANGALAM","KERALA","686671","4,394.07","0","0","790.93","0","0","-43.94","-397.70","-230.10","-35.40","0","4,477.86"
"14-Feb-2021 9:42:02 am UTC","15013882102","Order
","405-5215240-1042758","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500088","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 9:42:15 am UTC","15013896932","Order
","407-9792789-8419549","panasonic_KX_TG3712SXB","Panasonic Single Line 2.4GHz KX-TG3712SXB Digital Cordless Telephone (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","CHENNAI","TAMIL NADU","600073","3,474.58","33.90","-33.90","625.42","0","0","-34.75","-241.90","-88.50","-35.40","0","3,699.45"
"14-Feb-2021 9:46:59 am UTC","15013882102","Order
","404-2738610-6789966","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","VIRUDHACHALAM","TAMIL NADU","606001","825.42","33.90","-33.90","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"14-Feb-2021 9:47:03 am UTC","15013882102","Order
","171-7492994-7013142","IQ-YQD2-6T59","Bajaj Majesty 4500 TMCSS 45-Litre Oven Toaster Grill (Silver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BIHARSHARIF","BIHAR","803101","8,600.85","0","0","1,548.15","0","0","-86.01","-778.43","-414.18","-35.40","0","8,834.98"
"14-Feb-2021 9:47:37 am UTC","15013882102","Order
","171-8280722-1280355","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BATLAGUNDU","TAMIL NADU","624202","2,964.41","0","0","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 9:57:46 am UTC","15013882102","Order
","407-9201794-4090705","1N-V2NN-FX2P","Prestige PPBW 04 Barbeque","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","HYDERABAD","TELANGANA","500090","1,854.24","0","0","333.76","0","0","-18.54","-142.00","-152.22","-35.40","0","1,839.84"
"14-Feb-2021 9:59:12 am UTC","15013882102","Order
","171-7492994-7013142","IQ-YQD2-6T59","Bajaj Majesty 4500 TMCSS 45-Litre Oven Toaster Grill (Silver)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BIHARSHARIF","BIHAR","803101","8,600.85","0","0","1,548.15","0","0","-86.01","-778.43","-414.18","-35.40","0","8,834.98"
"14-Feb-2021 9:59:25 am UTC","15013896932","Order
","408-7863599-5602706","N7-3UFW-KYB9","Usha Thunderbolt Mixer Grinder 800-Watt 3 Jars with Copper Motor(Red)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","UJJAIN","MADHYA PRADESH","456001","3,018.64","33.90","-33.90","543.36","-15.09","-15.09","0","-231.17","-201.78","-35.40","0","3,063.47"
"14-Feb-2021 9:59:56 am UTC","15013896932","Order
","403-7575675-1273135","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","THIRUVANANTHAPURAM","KERALA","695607","1,828.57","35.71","-35.71","219.43","0","0","-18.29","-157.08","-173.46","-35.40","0","1,663.77"
"14-Feb-2021 10:02:42 am UTC","15013882102","Refund
","405-1293130-6897102","PB-57J5-FAK1","Bajaj 1.2 Liters Electric Kettle (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BENGALURU","KARNATAKA","560085","-1,342.37","-33.90","33.90","-241.63","0","0","13.42","102.80","0","35.40","0","-1,432.38"
"14-Feb-2021 10:02:45 am UTC","15013882102","Order
","403-8761592-9090708","C2-L653-R55N","Wahl Clipper Color Pro Cordless Rechargeable Hair Clippers, Hair Trimmer, 21 pieces Hair Cutting Kit, Color Coded Guide Combs for Men, Kids and Babies","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","KOLKATA","WEST BENGAL","700022","3,642.37","0","0","655.63","0","0","-36.42","-481.81","-88.50","-35.40","0","3,655.87"
"14-Feb-2021 10:09:46 am UTC","15013882102","Order
","404-5585127-8072308","TN-Y34P-OK99","Sujata Dynamix DX Mixer Grinder, 900W, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BANGALORE","KARNATAKA","560067","4,956.78","0","0","892.22","0","0","-49.57","-448.62","-258.42","-35.40","0","5,056.99"
"14-Feb-2021 10:10:42 am UTC","15013896932","Adjustment
","403-6780686-7474709","Eurekaforbes_dx_1200w_vacuum","FBA Inventory Reimbursement - Customer Return","1","","Cash On Delivery Transactions and Non-Transactional Fees","","","","","0","0","0","0","0","0","0","0","0","0","916.00","916.00"
"14-Feb-2021 10:13:40 am UTC","15013882102","Order
","406-6758866-9415551","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122001","1,204.46","0","0","144.54","0","0","-12.04","-183.07","-130.98","-35.40","0","987.51"
"14-Feb-2021 10:17:30 am UTC","15013896932","Order
","405-9575495-9208350","UE-5UR6-IWLN","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","HYDERABAD","TELANGANA","500019","3,922.32","0","0","470.68","0","0","-39.22","-285.11","-329.22","-35.40","0","3,704.05"
"14-Feb-2021 10:17:44 am UTC","15013882102","Order
","404-5840327-8222713","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","MUMBAI","MAHARASHTRA","400049","825.42","0","0","148.58","0","0","-8.25","-63.21","-130.98","-17.70","0","753.86"
"14-Feb-2021 10:26:36 am UTC","15013882102","Order
","406-3733772-9287523","96-XCC6-6BWB","Maharaja Whiteline Turbo DLX 750-Watt Mixer Grinder with 3 Jars (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","SHAHADA","MAHARASHTRA","425409","2,253.39","33.90","-33.90","405.61","0","0","-22.53","-172.57","-230.10","-35.40","0","2,198.40"
"14-Feb-2021 10:26:38 am UTC","15013896932","Refund
","404-6736420-6790768","L5-A9FO-6R1Q","Prestige Omega Deluxe Induction Base Non-Stick Kitchen Set, 3-Pieces","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BELDANGA","WEST BENGAL","742133","-2,033.93","-35.71","35.71","-244.07","0","0","20.34","139.78","0","35.40","0","-2,082.48"
"14-Feb-2021 10:29:41 am UTC","15013896932","Refund
","171-3709822-7186724","YR-XNGV-U0KY","Prestige PGMFB 800 Watt Grill Sandwich Toaster with Fixed Grill Plates, Black","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","BHUBANESWAR","ODISHA","751012","-1,071.19","0","0","-192.81","0","0","10.71","65.63","0","35.40","0","-1,152.26"
"14-Feb-2021 10:34:53 am UTC","15013896932","Refund
","408-1200676-6223542","83-1J4O-0Q65","Prestige Xclusive Stainless Steel PRM 5.0 Roti Maker with Demo CD (Silver)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KARIMNAGAR","TELANGANA","505497","-2,710.17","0","0","-487.83","0","0","27.10","166.04","0","53.10","0","-2,951.76"
"14-Feb-2021 10:38:36 am UTC","15013882102","Order
","402-3501631-4945955","VB-NNGL-XOL3","Panasonic SR-WA10 450-Watt Automatic Cooker Without Warmer (White)(Raw Capacity-0.6 kgs)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Vinjamur","ANDHRA PRADESH","524228","1,253.39","33.90","-33.90","225.61","0","0","-12.53","-95.99","-130.98","-35.40","0","1,204.10"
"14-Feb-2021 10:42:30 am UTC","15013882102","Order
","408-4909235-0605167","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110085","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 10:42:52 am UTC","15013882102","Order
","403-4197365-9626714","UE-5UR6-IWLN","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GHAZIABAD","UTTAR PRADESH","201014","3,922.32","0","0","470.68","0","0","-39.22","-285.11","-329.22","-35.40","0","3,704.05"
"14-Feb-2021 10:50:49 am UTC","15013896932","Order
","407-9218402-1049142","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KOLKATA","WEST BENGAL","700006","2,964.41","0","0","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
"14-Feb-2021 11:00:07 am UTC","15013882102","Refund
","404-3929544-1335546","BC-3YV2-FIQ9","Prestige PKOSS 1.8-Litre 1500W Electric Kettle (can't be used to boil milk)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GHOGHARDIHA","BIHAR","847402","-825.42","-33.90","33.90","-148.58","0","0","8.25","63.21","0","17.70","0","-884.84"
"14-Feb-2021 11:01:43 am UTC","15013882102","Order
","406-7915340-5613912","60018331","Royal Velvet Non-Stick 5-Piece Cookware Set (Fry Pan with Lid, Wok, Dosa Tawa, Mini Fry Pan) Induction Bottom, Soft-Touch Handles, Virgin Grade Alumin","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","GURUGRAM","HARYANA","122022","2,338.39","0","0","280.61","0","0","-23.38","-355.40","-152.22","-35.40","0","2,052.60"
"14-Feb-2021 11:17:48 am UTC","15013896932","Order
","406-1952439-8836310","UE-5UR6-IWLN","Usha Bandhan Straight Stitch Composite Sewing Machine (Black)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","TIRUPPUR","TAMIL NADU","641604","3,922.32","35.71","-35.71","470.68","0","0","-39.22","-285.11","-329.22","-35.40","0","3,704.05"
"14-Feb-2021 11:18:32 am UTC","15013896932","Order
","403-3396447-7910755","FK-21U0-6T47","Philips HP8143/00 Hair Dryer (Pink)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","KANDUKUR","ANDHRA PRADESH","523105","825.42","16.95","-16.95","148.58","0","0","-8.25","-109.19","-88.50","-17.70","0","750.36"
"14-Feb-2021 11:39:51 am UTC","15013882102","Order
","408-7533730-9182708","9Q-TS75-R4P0","Sujata Dynamix, Mixer Grinder, 900 Watts, 3 Jars (White)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Goregaon East","MAHARASHTRA","400063","4,906.78","33.90","-33.90","883.22","0","0","-49.07","-444.09","-230.10","-35.40","0","5,031.34"
"14-Feb-2021 11:40:16 am UTC","15013896932","Order
","406-1964407-9669920","4M-KK48-WR4U","Saregama Carvaan Mini 2.0 Bhakti- Music Player with Bluetooth/FM/AM/AUX (Orange)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","MUMBAI","MAHARASHTRA","400011","1,678.01","0","0","302.04","0","0","-16.78","-195.67","-62.54","-35.40","0","1,669.66"
"14-Feb-2021 11:55:27 am UTC","15013882102","Order
","405-8269205-0773137","panasonic_KX_TG3712SXB","Panasonic Single Line 2.4GHz KX-TG3712SXB Digital Cordless Telephone (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Bangalore","Karnataka","560037","3,474.58","0","0","625.42","0","0","-34.75","-241.90","-88.50","-35.40","0","3,699.45"
"14-Feb-2021 11:55:40 am UTC","15013882102","Order
","403-5214992-2788307","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","THIRUVANANTHAPURAM","KERALA","695005","866.07","17.86","-17.86","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 11:55:40 am UTC","15013882102","Order
","408-8400079-3141150","panasonic_KX_TG3712SXB","Panasonic Single Line 2.4GHz KX-TG3712SXB Digital Cordless Telephone (Black)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Ahmedabad","GUJARAT","380015","3,474.58","0","0","625.42","0","0","-34.75","-241.90","-88.50","-35.40","0","3,699.45"
"14-Feb-2021 11:55:55 am UTC","15013882102","Order
","407-2689156-6737957","XR-8LAK-15Q5","Prestige Svachh, 10753, 5 L, Nakshatra Duo Red Handi, with deep lid for Spillage Control","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","NEW DELHI","DELHI","110021","1,660.71","0","0","199.29","0","0","-16.61","-153.64","-173.46","-35.40","0","1,480.89"
"14-Feb-2021 11:56:14 am UTC","15013882102","Order
","404-5993489-8896327","36305","Prestige Omega Deluxe Granite Fry Pan, 240mm, Black (36305)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","CHENNAI","TAMIL NADU","600096","866.07","0","0","103.93","0","0","-8.66","-74.40","-109.74","-17.70","0","759.50"
"14-Feb-2021 11:59:55 am UTC","15013896932","Order
","405-1030675-6149114","S4-6MCY-8GU3","Syska HT4000K AquaTrim Cord & Cordless Rechargeable Beard Trimmer for Men - Multi-Purpose Trimmer with 60 Minutes Runtime and 9 Length Setting","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","INDORE","MADHYA PRADESH","452016","1,503.38","16.94","-16.94","270.62","-7.52","-7.52","0","-198.87","-109.74","-35.40","0","1,414.95"
"14-Feb-2021 12:00:33 pm UTC","15013896932","Order
","171-9766077-3481146","LP-5009-DWF6","Eureka Forbes Easy Clean Plus 800-Watt Vacuum Cleaner with Suction & Blower (Sliver) (Sliver)","1","amazon.in","Cash On Delivery Transactions and Non-Transactional Fees","Amazon
","AKLUJ","MAHARASHTRA","413101","2,465.26","33.90","-33.90","443.74","-12.33","-12.33","0","-188.80","-152.22","-35.40","0","2,507.92"
"14-Feb-2021 12:02:24 pm UTC","15013882102","Order
","402-0297466-5387554","OM-HYM1-WOKT","Saregama Carvaan Mini 2.0- Music Player with Bluetooth/FM/AM/AUX (Sapphire Green)","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","BIDHAN NAGAR","WEST BENGAL","700097","1,686.44","33.90","-33.90","303.56","0","0","-16.86","-199.60","-62.54","-35.40","0","1,675.60"
"14-Feb-2021 12:02:24 pm UTC","15013882102","Refund
","406-2369502-3827522","QO-OETB-YAIF","BERGNER Alpine Forged Aluminium Non-Stick Kadhai with Glass Lid, 28 cm, 3.6 Liters, Induction Base, Grey., 28 cm, 3.6 ltr","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","PUNE","MAHARASHTRA","411057","-1,204.46","0","0","-144.54","6.02","6.02","0","146.45","0","35.40","0","-1,155.11"
"14-Feb-2021 12:05:58 pm UTC","15013882102","Order
","403-1863363-7500316","KH-7YIR-FZ5G","Nutri-Blend Complete Kitchen Machine, 22000 RPM Mixer-Grinder, Blender, Chopper, Juicer, SS Blades, 4 Unbreakable Jars, 2 Years Warranty, 400W-Red, In","1","amazon.in","Electronic Transactions (Credit Card/Net Banking/GC)","Amazon
","Pen","MAHARASHTRA","402107","2,964.41","0","0","533.59","0","0","-29.64","-227.02","-152.22","-35.40","0","3,053.72"
