"month","fnsku","sku","product-name","average-quantity","end-quantity","fulfillment-center-id","detailed-disposition","country"
"12/2020","X0019NR75B","6I-P3YP-49M8","Bajaj CGX3, 3-Burner Stainless Steel Glass, ISI Certified, Gas Stove (Black)","0.13","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X0019I21X9","amzn1.fba.v1.RldEp9pkpY4z5iV5exdmbNIO5nU","Wonderchef Nutri-Blend Compact FP (Mixer, Grinder, Chopper, Food Processor) 400W, 4 Jars – Black","0.71","0","BOM5","DEFECTIVE","IN"
"12/2020","X0019H996R","amzn1.fba.v1.ANm8djdFwKcdfRgH9mJgM3Dsisc","Pigeon by Stovekraft Non-Stick Forged Flat Tawa 280, 26 cm","1.0","0","BLR7","CUSTOMER_DAMAGED","IN"
"12/2020","X0019GRUEB","2S-ILVA-Z53M","Tefal Access Steam+ Handheld Garment Steamer","0.19","0","*XFR","SELLABLE",
"12/2020","X0019DOMG3","E7-XSCC-J7Z8","Wonderchef Nutri-Blend Compact Food Processor 400W – Red","1.0","2","BOM7","SELLABLE","IN"
"12/2020","X0019DOBJV","YA-GM4H-SA9L","Wonderchef Nutri-Blend Mixer Grinder, 400W, 3 Jars (Red)","78.42","109","SIDA","SELLABLE","IN"
"12/2020","X00185K365","PD-FV8B-8BWK","Tefal Simply Chef Non-Stick Kadhai with Lid, 24cm (Rio Red)","5.42","6","BOM4","SELLABLE","IN"
"12/2020","X00184Z2CL","KR-DP2R-TVB6","Maharaja Whiteline Powerclick + MX-204 750-Watt Mixer Grinder with 4 Jars (Black)","0.06","0","BLR5","SELLABLE","IN"
"12/2020","X0016DWD3F","3N-A2NC-9JIF","Wahl Professional Moser 1400-0016 Hair Clipper (Red)","1.74","0","BOM6","SELLABLE","IN"
"12/2020","X0015CA37Z","MO-X9XW-JXJ7","Wahl 08591-1024 Wahl Designer Cordless & Corded Clipper, Black (Black)","0.39","0","BOM6","SELLABLE","IN"
"12/2020","X0014STQJL","J0-KOYK-0R9C","Bajaj Plastic Shatki Plus 6 L Gyser,6-Inch Length (Ivory)","1.68","0","SIDA","SELLABLE","IN"
"12/2020","X0013RP0C5","ID-02QP-AYEU","Panasonic SR-W18GH 270-Watt Automatic Cooker Warmer Combo Gift Pack (Gold)","0.03","0","BLR7","SELLABLE","IN"
"12/2020","X0013MP1XD","VG-I846-ID4B","Wonderchef Nutri-Blend Compact FP (Mixer, Grinder, Chopper, Food Processor) 400W, 4 Jars – Black","52.9","48","SIDA","SELLABLE","IN"
"12/2020","X0013MP1K1","9H-UYHA-JFCN","Wonderchef Plastic String Vegetable Chopper, 5 Blade, Red/White","84.74","85","SIDA","SELLABLE","IN"
"12/2020","X00117GL57","53-BITV-CVOK","Wonderchef Chef Kapoor Standard Size Electric Tandoor 1370-watt with Flexi-Hinge, Sandwich maker","27.45","0","BOM1","SELLABLE","IN"
"12/2020","X001176WID","HP-SMF1-V1R4","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","3.03","1","BOM7","SELLABLE","IN"
"12/2020","X001176WID","HP-SMF1-V1R4","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","0.48","0","BOM5","SELLABLE","IN"
"12/2020","X001176WID","HP-SMF1-V1R4","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","7.48","6","BOM4","SELLABLE","IN"
"12/2020","X001176WID","HP-SMF1-V1R4","Bajaj Glory 500-Watt Mixer Grinder with 3 Jars (White)","2.55","0","BOM1","SELLABLE","IN"
"12/2020","X0010P9EJZ","T5-UOUU-4OES","Usha Crisp Air 200mm Sweep Size, 300mm Duct Size Exhaust Fan (Black)","0.03","0","BOM7","CUSTOMER_DAMAGED","IN"
"12/2020","X000ZRWDQ5","QS-RC7R-VF83","Tefal Simply Chef Non-Stick Fry Pan, 28cm (Rio Red)","1.48","0","BOM4","SELLABLE","IN"
"12/2020","X000VE58HX","UB-LKKO-TGRE","Wonderchef - 63151691 Granite Die-Cast Aluminium Induction Base Casserole Set, 6-Pieces, Grey","0.1","0","BLR7","SELLABLE","IN"
"12/2020","X000T74UTJ","2C-Y7RH-M39T","Prestige Delight Electric Rice Cooker PRWO 0.5 (300 watts) Cooks Upto 250 g Rice (White)","2.06","0","SIDA","SELLABLE","IN"
"12/2020","X000SN6S1H","3C-2BL2-O8T4","Bajaj Shakti Plus Storage 25-Litre Vertical Water Heater (Ivory)","0.81","0","SIDA","SELLABLE","IN"
"12/2020","X000SC175P","6O-VWK2-EIJY","Bajaj Caldia Storage 10 Litre Vertical Water Heater (White)","0.77","0","SIDA","SELLABLE","IN"
"12/2020","X000RV5SIJ","SV-NIEJ-M7PX","Bajaj Shakti Plus Storage 10-Litre Vertical Water Heater (Ivory)","2.29","2","SIDA","SELLABLE","IN"
"12/2020","X000R72TT9","IQ-KJQS-NEVP","Bajaj Majesty Duetto Gas 6 LTR Vertical Water Heater (LPG), White","17.48","8","SIDA","SELLABLE","IN"
"12/2020","X000QTIGVN","XC-UELA-659X","Bajaj Rex Mixer Grinder, 500W, 3 Jars (White)","0.13","0","SIDA","CUSTOMER_DAMAGED","IN"
"12/2020","X001A5ZH2N","amzn1.fba.v1.mqq2-k3uVxtHs4YpVMx-5_Lj-f4","Bajaj Food Factory FX 11 600-Watt Food Processor (White)","0.71","0","BOM7","DEFECTIVE","IN"
"12/2020","X001A5OUA3","B7-DQGQ-7RDU","(Renewed) Lava A7 (Blue Silver)","0.03","0","QWTT","SELLABLE","IN"
